pdb_id	-logAffi
3zzf	0.4
3gww	0.45
1w8l	0.49
3fqa	0.49
1zsb	0.6
4eu3	0.82
3k41	0.82
2w97	0.96
2b1r	1.0
1p0y	1.0
1aw1	1.05
1maw	1.1
5eb2	1.11
3fl9	1.11
4to8	1.24
4fck	1.26
4fci	1.26
2fah	1.3
5oxm	1.3
1a0t	1.3
5mny	1.31
5moo	1.31
2igw	1.31
2vl1	1.35
3nm6	1.35
1o4l	1.4
1o4n	1.4
1hty	1.4
2hdq	1.4
3e81	1.43
1ozv	1.44
1utp	1.44
5eb3	1.45
1tnk	1.49
4bh4	1.49
5vqe	1.49
5ct1	1.52
5ele	1.52
4lh3	1.52
4amw	1.55
3rup	1.57
5cs5	1.58
5ofv	1.58
2b1q	1.59
1w8m	1.6
2it4	1.62
4d63	1.64
1a7t	1.64
1hgj	1.66
1rdj	1.66
4qsw	1.68
2o9r	1.68
6cex	1.7
2sfp	1.7
3oay	1.7
4tyb	1.7
3ern	1.72
3vzg	1.72
4qsx	1.74
5ggj	1.75
4bgx	1.77
5ggl	1.78
3rxh	1.8
1af6	1.82
1d5r	1.82
4ahv	1.82
3eqb	1.82
1rdn	1.84
1fd7	1.85
3khv	1.85
1mwt	1.88
2ay2	1.88
1tnl	1.88
4x8s	1.89
1f2p	1.9
4mrh	1.9
1f2o	1.91
1efi	1.92
4bh3	1.92
3ehn	1.92
2rjr	1.94
4mrf	1.95
1tnj	1.96
2bmv	2.0
2r58	2.0
4y4g	2.0
4ctk	2.0
4qsu	2.0
4awj	2.0
3pce	2.0
2hds	2.0
4qsv	2.0
5ekx	2.03
5nzq	2.03
4ty9	2.05
5eiw	2.05
4u54	2.06
1rdi	2.06
2zg3	2.06
1qq9	2.06
4b0c	2.07
5tyh	2.08
3rxp	2.08
2zg1	2.1
4cs9	2.1
2w8w	2.12
3gv9	2.12
1qx1	2.12
1p2g	2.13
6fi1	2.15
5cs3	2.15
4b0j	2.15
4q90	2.15
1uxb	2.15
3rxg	2.15
5fe6	2.16
2ay9	2.16
4y3j	2.17
5oxk	2.17
6gmx	2.17
3gqz	2.17
3l7d	2.18
4amx	2.19
4ahs	2.19
4mre	2.19
5nzp	2.19
4ahr	2.19
4jdf	2.19
1w1v	2.2
4eh8	2.2
2vvo	2.2
1x8d	2.21
4g0z	2.21
5fsb	2.22
1icj	2.22
5hcl	2.22
2aac	2.22
1m0n	2.22
4uru	2.22
4x11	2.22
3ao5	2.23
1ajp	2.23
2igv	2.23
1rdl	2.24
2os9	2.24
5nzo	2.24
5f6v	2.24
2ay8	2.24
4np2	2.26
3ao1	2.26
1ew8	2.26
5v6u	2.26
4eh9	2.26
1hge	2.27
1uto	2.27
4mfe	2.27
4ahu	2.27
3ip8	2.28
1ps3	2.28
3fu0	2.28
5fnj	2.29
2ay1	2.29
4ddk	2.29
4ehv	2.29
4jsz	2.3
2hdu	2.3
2ay7	2.3
3kgq	2.3
4e3d	2.3
4g0y	2.3
1n1g	2.3
2xix	2.3
4b6e	2.3
3mhw	2.3
5g42	2.3
6gmq	2.3
3rv4	2.3
4y0a	2.31
5mz8	2.31
1m0o	2.31
5aol	2.32
2qve	2.32
1z6d	2.34
5elf	2.34
4iie	2.34
3gtc	2.35
1qi0	2.35
4k3k	2.35
1o4j	2.36
4jck	2.37
3f6e	2.38
1f73	2.39
4tya	2.39
1nwl	2.39
3pcb	2.4
4zsm	2.4
4y38	2.4
2wi1	2.4
3t2t	2.4
3l7b	2.4
4u5s	2.41
2wsx	2.41
4u5o	2.42
1t4s	2.44
3l7c	2.44
1o4h	2.44
4d62	2.44
2i2b	2.44
3ked	2.44
1oba	2.44
2xiy	2.44
2aez	2.46
4ddm	2.46
4ah9	2.46
1o4o	2.46
4x8u	2.46
4eh6	2.46
3l79	2.46
1utl	2.47
4gne	2.47
5jal	2.47
3rik	2.47
6fhq	2.47
5dv4	2.47
1tok	2.47
4y4j	2.47
5mn1	2.48
1gyx	2.48
5mnx	2.48
5mon	2.48
5mnb	2.48
4efk	2.49
4kz7	2.49
3g30	2.51
3bf1	2.52
5f6u	2.52
3gr2	2.52
3fq7	2.52
1rq2	2.52
3ad7	2.52
4g0q	2.52
4urz	2.52
4e3f	2.52
1wdr	2.52
5f6d	2.52
4hj2	2.53
5n53	2.55
3b3s	2.55
1kf0	2.55
5eif	2.55
1il3	2.55
3ovn	2.55
5os0	2.55
1gwv	2.57
3kgp	2.57
2wq4	2.57
2ria	2.57
4wef	2.59
3gvb	2.59
2jst	2.59
2ay5	2.59
5g46	2.6
1o4p	2.6
3gwv	2.6
2r5a	2.6
4up5	2.6
5lvd	2.62
3fk1	2.62
5foo	2.62
4lno	2.62
1cze	2.62
1ajn	2.63
4i8x	2.64
3p1d	2.64
6fhu	2.64
4ufl	2.64
5ey0	2.65
5eld	2.66
1il5	2.66
4y2p	2.66
3a1e	2.66
4b3d	2.68
5aqj	2.68
2q72	2.68
1hgi	2.68
4b3c	2.68
5k5s	2.69
3elc	2.69
4usw	2.69
2ohk	2.7
4ypf	2.7
4yrg	2.7
3fud	2.7
2fzc	2.7
4h4b	2.7
1ylv	2.7
3zt1	2.7
3rqw	2.7
3zsw	2.7
4yrc	2.7
3ftz	2.7
4okp	2.7
6fty	2.7
1lt5	2.7
3zsz	2.7
2uyn	2.7
2ha4	2.7
4kpz	2.71
2rkd	2.72
3p4r	2.72
5fsx	2.72
5os2	2.74
4m6u	2.74
2vyt	2.74
1dg9	2.74
4ndu	2.74
5oyd	2.75
1rql	2.75
4bt5	2.76
5er4	2.76
2p3o	2.77
4urv	2.77
4kz3	2.77
4g5y	2.77
3l0n	2.77
4a4h	2.77
3fcq	2.77
